state,emp_length,term,homeownership,annual_income,verified_income,debt_to_income,total_credit_limit,total_credit_utilized,num_cc_carrying_balance,loan_purpose,loan_amount,grade,interest_rate,public_record_bankrupt,loan_status,has_second_income,total_income,,annual_income,loan_amount
NJ,3,60,rent,59000,Not Verified,0.557525424,95131,32894,8,debt_consolidation,22000,B,10.9,0,Current,FALSE,59000,,59000,22000
CA,10,36,rent,60000,Not Verified,1.305683333,51929,78341,2,credit_card,6000,B,9.92,1,Current,FALSE,60000,,60000,6000
SC,NA,36,mortgage,75000,Verified,1.05628,301373,79221,14,debt_consolidation,25000,E,26.3,0,Current,FALSE,75000,,75000,25000
CA,0,36,rent,75000,Not Verified,0.574346667,59890,43076,10,credit_card,6000,B,9.92,0,Current,FALSE,75000,,75000,6000
OH,4,60,mortgage,254000,Not Verified,0.238149606,422619,60490,2,home_improvement,25000,B,9.43,0,Current,FALSE,254000,,254000,25000
IN,6,36,mortgage,67000,Source Verified,1.077044776,349825,72162,4,home_improvement,6400,B,9.92,0,Current,FALSE,67000,,67000,6400
NY,2,36,rent,28800,Source Verified,0.099722222,15980,2872,1,debt_consolidation,3000,D,17.09,0,Current,FALSE,28800,,28800,3000
MO,10,36,mortgage,80000,Not Verified,0.3509125,258439,28073,3,credit_card,14500,A,6.08,0,Current,FALSE,80000,,80000,14500
FL,6,60,rent,34000,Not Verified,0.6975,87705,23715,10,credit_card,10000,A,7.97,0,Current,FALSE,34000,,34000,10000
FL,3,60,mortgage,80000,Source Verified,0.166854167,330394,32036,4,debt_consolidation,18500,C,12.62,1,Current,TRUE,192000,,80000,18500
MD,8,36,rent,73000,Source Verified,0.414328767,36182,30246,3,debt_consolidation,17000,D,17.09,0,Current,FALSE,73000,,73000,17000
HI,10,36,mortgage,120000,Not Verified,0.798908333,452712,95869,4,credit_card,12000,A,5.31,0,Current,FALSE,120000,,120000,12000
CT,10,36,rent,100000,Source Verified,0.27809,74805,27809,3,credit_card,16000,A,7.35,0,Current,FALSE,100000,,100000,16000
NE,2,36,mortgage,105000,Not Verified,0.268190476,279386,28160,2,home_improvement,16500,A,5.31,0,Current,FALSE,105000,,105000,16500
CA,5,36,rent,34000,Not Verified,0.629294118,33038,21396,3,debt_consolidation,3000,A,7.96,0,Current,FALSE,34000,,34000,3000
TX,2,60,mortgage,98000,Verified,1.107102041,319551,108496,6,credit_card,29400,E,24.85,0,Fully Paid,FALSE,98000,,98000,29400
HI,5,60,rent,68700,Source Verified,1.499548763,119325,103019,5,debt_consolidation,13500,D,18.06,0,Current,FALSE,68700,,68700,13500
CA,3,60,rent,43000,Source Verified,0.154652778,60693,22270,4,debt_consolidation,18200,B,10.42,0,Current,TRUE,144000,,43000,18200
CA,3,36,rent,100000,Source Verified,0.13823,69100,13823,5,other,6000,A,7.96,0,Current,FALSE,100000,,100000,6000
FL,10,60,mortgage,76000,Source Verified,0.589815789,249700,44826,10,debt_consolidation,18000,D,19.42,0,Current,FALSE,76000,,76000,18000
MS,10,36,mortgage,80000,Verified,0.737305932,136046,124994,1,car,5000,C,14.08,0,Current,TRUE,169528,,80000,5000
WI,10,60,mortgage,50000,Verified,0.523416667,375828,87934,11,debt_consolidation,40000,D,20,0,Fully Paid,TRUE,168000,,50000,40000
WV,0,36,mortgage,80000,Not Verified,0.7045375,197299,56363,6,debt_consolidation,4500,B,9.44,0,Fully Paid,FALSE,80000,,80000,4500
CA,1,36,rent,185000,Not Verified,0.254675676,102500,47115,2,credit_card,15000,B,9.92,0,Current,FALSE,185000,,185000,15000
NJ,5,60,mortgage,42000,Source Verified,0.086666667,64800,3640,5,house,20000,B,10.91,0,Current,FALSE,42000,,42000,20000
MA,2,36,rent,100000,Verified,0.328196296,144700,88613,4,small_business,20000,A,5.32,0,Current,TRUE,270000,,100000,20000
TX,5,36,mortgage,65000,Not Verified,0.242738462,256974,15778,7,debt_consolidation,10000,A,6.71,0,Fully Paid,FALSE,65000,,65000,10000
IN,5,36,own,45000,Not Verified,0.157311111,121323,7079,4,debt_consolidation,9000,C,15.04,0,Current,FALSE,45000,,45000,9000
RI,10,60,mortgage,245000,Verified,0.167363265,495163,41004,6,credit_card,35000,B,11.98,0,Current,FALSE,245000,,245000,35000
TX,0,36,mortgage,50000,Source Verified,0.639677083,203326,122818,4,debt_consolidation,40000,C,12.62,0,Current,TRUE,192000,,50000,40000
